lap_distance,x_position,y_position
0.0,191.93695147698838,-282.46264248564376
0.5,192.42152827944065,-282.34019173825175
1.0,192.90610192385375,-282.2177324468585
1.5,193.3906723363264,-282.09526453148413
2.0,193.8752388699316,-281.972786457519
2.5,194.35980096477658,-281.8502997510706
3.0,194.84435973974627,-281.7278050189785
3.5,195.32891536422505,-281.6053024076635
4.0,195.81346763043305,-281.4827914327286
4.5,196.29801892557754,-281.36027738894205
5.0,196.78257016697626,-281.23776285869656
5.5,197.26712164658636,-281.11524881358224
6.0,197.75167312353827,-280.99273639323684
6.5,198.2362249250907,-280.8702269941048
7.0,198.72077746929008,-280.7477213307527
7.5,199.20533111707087,-280.6252202360861
8.0,199.6898877140062,-280.50272914802594
8.5,200.17444671754893,-280.3802445161826
9.0,200.65900864649961,-280.2577672585456
9.5,201.1435745525649,-280.13529948115973
10.0,201.62814550035165,-280.01284564207464
10.5,202.11271923854775,-279.8903990432396
11.0,202.59729585922867,-279.7679601043586
11.5,203.08187636879487,-279.6455320703537
12.0,203.5664607144415,-279.52311098029685
12.5,204.05104736764602,-279.40069384283925
13.0,204.53563613253922,-279.27827990071336
13.5,205.02022740545266,-279.1558683894286
14.0,205.50482127976056,-279.03345939493937
14.5,205.9894167538377,-278.91105000283187
15.0,206.47401325352754,-278.7886378382956
15.5,206.958608786971,-278.6662132983862
16.0,207.44320191607102,-278.5437725909917
16.5,207.92779326232957,-278.42131911610664
17.0,208.41238285256904,-278.2988531752688
17.5,208.89696890926973,-278.1763679313125
18.0,209.3815505470867,-278.05386181564853
18.5,209.8661271789389,-277.9313342469098
19.0,210.350698044406,-277.80878312721154
19.5,210.83525992713433,-277.68619533402443
20.0,211.31981369024356,-277.56358045585773
20.5,211.80435956776827,-277.44093988770675
21.0,212.28889723925028,-277.3182730096091
21.5,212.77342192230904,-277.19556351942737
22.0,213.25793664925519,-277.07282334305404
22.5,213.7424420715316,-276.9500543810339
23.0,214.22693835823134,-276.82725703613886
23.5,214.7114217610205,-276.70441849711375
24.0,215.1958956260894,-276.58154989775
24.5,215.68036044264343,-276.4586507179322
25.0,216.16481640591996,-276.335719709138
25.5,216.64926081717175,-276.2127451729307
26.0,217.13369726018522,-276.08973914464195
26.5,217.6181257135874,-275.96670186397023
27.0,218.1025459463367,-275.84363281951363
27.5,218.58695393099885,-275.7205205308936
28.0,219.07135494343817,-275.5973787104666
28.5,219.5557492950512,-275.4742088503045
29.0,220.04013700252654,-275.3510114241895
29.5,220.52451486034659,-275.2277786510057
30.0,221.00888427400295,-275.1045184104973
30.5,221.49324615790212,-274.98123261208224
31.0,221.9776008935312,-274.8579215874552
31.5,222.46194677138095,-274.7345773465695
32.0,222.94628639674409,-274.6112111945705
32.5,223.4306201372057,-274.48782516420437
33.0,223.914947802617,-274.3644197679492
33.5,224.3992668731878,-274.240992380814
34.0,224.88357958838122,-274.1175466953844
34.5,225.3678874342271,-273.9940875831453
35.0,225.85219086382267,-273.8706163631067
35.5,226.33648936658946,-273.74713041738875
36.0,226.82078347900696,-273.6236290668886
36.5,227.30507342234364,-273.5001175788414
37.0,227.7893593708933,-273.3765959827004
37.5,228.27364170365064,-273.25305980820326
38.0,228.7579185709132,-273.129501548103
38.5,229.24219124319984,-273.0059240110486
39.0,229.72645992874558,-272.8823267402553
39.5,230.21072464230056,-272.75870797787803
40.0,230.69498217508493,-272.6350557698129
40.5,231.1792332177862,-272.511375222921
41.0,231.66347798947993,-272.3876648528011
41.5,232.1477168656513,-272.2639233068794
42.0,232.63194538148247,-272.1401318249291
42.5,233.11616531821434,-272.01630232083573
43.0,233.6003748686669,-271.89243136466405
43.5,234.0845722378503,-271.7685155799754
44.0,234.56875065284763,-271.64453774288626
44.5,235.0529120899591,-271.5205046732618
45.0,235.53705786835235,-271.39642103287275
45.5,236.0211870685331,-271.2722847567609
46.0,236.50529448141688,-271.1480817720273
46.5,236.9893760752151,-271.0238058721217
47.0,237.473438061817,-270.89947255559576
47.5,237.95748039673427,-270.77508191496247
48.0,238.44150192976008,-270.65063171591623
48.5,238.92549653434597,-270.5261003395772
49.0,239.40947154863886,-270.4015129212939
49.5,239.89342679572533,-270.2768703619384
50.0,240.37736240206434,-270.15217348879503
50.5,240.861275114678,-270.0274071665735
51.0,241.3451703226326,-269.9025815133589
51.5,241.82905160946916,-269.77770522659523
52.0,242.31291973379336,-269.6527789268786
52.5,242.7967729216166,-269.5277945734578
53.0,243.28060727390968,-269.4027385730277
53.5,243.76442783909968,-269.2776308338918
54.0,244.24823621805535,-269.15247625964395
54.5,244.73203425640617,-269.0272800131586
55.0,245.2158209190232,-268.9020287909482
55.5,245.6995980200785,-268.77673201914195
56.0,246.1833664660676,-268.6513939825835
56.5,246.66712645968778,-268.5260167936589
57.0,247.15087636134984,-268.4005972031338
57.5,247.6346149316159,-268.27513126842973
58.0,248.11834439712229,-268.1496293600277
58.5,248.60206531918615,-268.024092983412
59.0,249.08577843351603,-267.8985238409644
59.5,249.56948182430682,-267.7729147851611
60.0,250.05317768616504,-267.6472738791165
60.5,250.53686588476597,-267.5216013920544
61.0,251.02054634825322,-267.39589762887874
61.5,251.5042186041918,-267.27016128217826
62.0,251.98788501755317,-267.1443944113947
62.5,252.47154768744136,-267.01860368285105
63.0,252.95520565904096,-266.89278753219605
63.5,253.4388576857481,-266.76694440104677
64.0,253.92250119229755,-266.64106884147554
64.5,254.40613745070686,-266.51516660198814
65.0,254.8897664866249,-266.38923953705233
65.5,255.37338785189493,-266.2632863262303
66.0,255.85700087029468,-266.13730383104036
66.5,256.3406023191024,-266.01128548702286
67.0,256.8241933997212,-265.8852404195114
67.5,257.30777409285196,-265.75916833689445
68.0,257.7913442793805,-265.63306883068435
68.5,258.27490177821977,-265.5069369728844
69.0,258.7584464950992,-265.38077334172124
69.5,259.24198144366915,-265.25458433048635
70.0,259.7255071183536,-265.12836897956856
70.5,260.209024028201,-265.0021258368679
71.0,260.692531104057,-264.87584543666134
71.5,261.17603031472004,-264.74952985522947
72.0,261.65952212962935,-264.6231799082103
72.5,262.1430055521253,-264.4967938154255
73.0,262.62647920889077,-264.3703703578146
73.5,263.1099385008005,-264.24389902461553
74.0,263.5933877826294,-264.1173901378055
74.5,264.0768281447947,-263.99084550779986
75.0,264.56025965174985,-263.86426456480405
75.5,265.04368166020896,-263.7376453081348
76.0,265.52708790294184,-263.6109754361822
76.5,266.0104806054419,-263.48426752365
77.0,266.49386014262205,-263.3575227175855
77.5,266.9772268140231,-263.23074205341896
78.0,267.46058011600473,-263.1039246047829
78.5,267.9439176969245,-262.97706339071254
79.0,268.42724460192744,-262.8501722947299
79.5,268.9105617254419,-262.72325364576386
80.0,269.39387004871344,-262.5963079554916
80.5,269.8771702890571,-262.4693307909851
81.0,270.3604600851673,-262.34231028899393
81.5,270.843742158597,-262.2152563571946
82.0,271.3270160578273,-262.08816747798573
82.5,271.81028113173204,-261.9610418554797
83.0,272.29353582658933,-261.83387481467736
83.5,272.7767782864206,-261.7066558371931
84.0,273.26000961189885,-261.5793932401743
84.5,273.743229517669,-261.45208646887664
85.0,274.2264376133017,-261.3247346683023
85.5,274.70963259863134,-261.1973340533266
86.0,275.1928091621352,-261.0698706260657
86.5,275.6759708549997,-260.9423552290906
87.0,276.15911725470005,-260.81478825471083
87.5,276.6422485029462,-260.6871712706282
88.0,277.1253653372157,-260.55950674532744
88.5,277.60846572188154,-260.4317858140202
89.0,278.09155603053676,-260.30402639413455
89.5,278.5746382107138,-260.1762310368146
90.0,279.05771412932114,-260.0484021399853
90.5,279.54078547366527,-259.92054170509823
91.0,280.0238517462085,-259.7926394636534
91.5,280.5069152590094,-259.66469968158134
92.0,280.9899758549425,-259.536720037234
92.5,281.4730329042002,-259.40869769701897
93.0,281.95608556154576,-259.28063071883844
93.5,282.4391318001437,-259.15251013442895
94.0,282.92216931840034,-259.0243359332671
94.5,283.4051973990887,-258.89611182370516
95.0,283.888214798454,-258.7678346280133
95.5,284.37122002757826,-258.63950167397235
96.0,284.85420958711745,-258.5111078716789
96.5,285.3371773373875,-258.3826458617051
97.0,285.82012538570194,-258.25412952410875
97.5,286.303053294112,-258.1255582946191
98.0,286.78596153283166,-257.9969342740278
98.5,287.2688514510447,-257.8682629143162
99.0,287.75172062078565,-257.73954534111664
99.5,288.23457520935017,-257.61080037629927
100.0,288.71741767487066,-257.48203581221463
100.5,289.20025079293987,-257.35325819979505
101.0,289.68307785401805,-257.22447413874767
101.5,290.16590227507345,-257.0956910076838
102.0,290.64873020903013,-256.9669189249367
102.5,291.1315638446837,-256.83815567977246
103.0,291.6144050246519,-256.70940216949145
103.5,292.0972544138109,-256.580658613732
104.0,292.58011142357304,-256.45192419227874
104.5,293.0629785156998,-256.32320065095104
105.0,293.5458557122037,-256.1944886155428
105.5,294.02874350290205,-256.065789031229
106.0,294.5116422030275,-255.93710253638912
106.5,294.9945516928891,-255.80842926738515
107.0,295.4774719505952,-255.67976962787668
107.5,295.9604054868612,-255.55112920855578
108.0,296.4433494633463,-255.4225054444097
108.5,296.92630340345517,-255.29389836788442
109.0,297.40926675867473,-255.1653080524032
109.5,297.892238808654,-255.03673433296117
110.0,298.37521899321257,-254.9081773461365
110.5,298.8582053286891,-254.77963653752704
111.0,299.34119650452186,-254.65111007983498
111.5,299.8241924607435,-254.52259713017665
112.0,300.3071927127158,-254.39409555672418
112.5,300.790196320466,-254.2656022142359
113.0,301.2732032352262,-254.137115440873
113.5,301.7562133151924,-254.0086349836478
114.0,302.23922620146845,-253.88016112174478
114.5,302.7222424936125,-253.75169303421157
115.0,303.2052624336394,-253.6232293483195
115.5,303.6882855802587,-253.4947686804714
116.0,304.17131195511473,-253.36631137448452
116.5,304.6543416669203,-253.23785749773623
117.0,305.13737390795643,-253.10940761258001
117.5,305.6204083825203,-252.98096044048378
118.0,306.1034449029858,-252.85251480198892
118.5,306.58648335844236,-252.72407065356765
119.0,307.0695242101732,-252.5956305786663
119.5,307.55256803898646,-252.4671949299826
120.0,308.03561384432834,-252.33876303570236
120.5,308.51866051001326,-252.21033441754594
121.0,309.00170711558883,-252.0819091694726
121.5,309.48475320119394,-251.95348756849344
122.0,309.96779885418755,-251.82506630051023
122.5,310.45084530419206,-251.69664543378948
123.0,310.93389347891895,-251.568225007258
123.5,311.41694348150145,-251.43980803793178
124.0,311.89999504570835,-251.31139727448635
124.5,312.38304789187436,-251.18299418588614
125.0,312.8661025262454,-251.05459889479238
125.5,313.34916223755647,-250.9262159739802
126.0,313.83222701090506,-250.79784462960535
126.5,314.3152966396554,-250.66948316324144
127.0,314.7983702505786,-250.54112947482741
127.5,315.28144696434737,-250.4127815477605
128.0,315.7645266949486,-250.2844378688533
128.5,316.2476114948379,-250.1561017771246
129.0,316.730700339173,-250.02777502953973
129.5,317.21379414383125,-249.89946183349923
130.0,317.6968931879462,-249.77116412630576
130.5,318.17999715663933,-249.64288135070757
131.0,318.6631053666497,-249.51461097624528
131.5,319.1462176213508,-249.3863511144734
132.0,319.6293330105754,-249.25809794534683
132.5,320.1124500671603,-249.12984740324308
133.0,320.59556858036,-249.001598369896
