lap_distance,x_position,y_position
0.000000000000000000e+00,-1.092100025903537244e+03,-1.002628561339084172e+03
2.701350675337669038e+00,-1.116286260770694298e+03,-9.587719362400363252e+02
5.402701350675338077e+00,-1.140472495637851125e+03,-9.149153111409884787e+02
8.104052026013008003e+00,-1.164658730505008180e+03,-8.710586860419406321e+02
1.080540270135067615e+01,-1.175210721917159390e+03,-8.519784097559670499e+02
1.350675337668834430e+01,-1.183577260826504698e+03,-8.368695700739106087e+02
1.620810405202601601e+01,-1.191943799735850007e+03,-8.217607303918541675e+02
1.890945472736368416e+01,-1.208865823938474023e+03,-7.913404999581728134e+02
2.161080540270135231e+01,-1.229054150552414740e+03,-7.550747060271249893e+02
2.431215607803902046e+01,-1.249242477166355684e+03,-7.188089120960771652e+02
2.701350675337668861e+01,-1.261414134438008432e+03,-6.969161375385021984e+02
2.971485742871436031e+01,-1.267911795177853719e+03,-6.851962238779697145e+02
3.241620810405203201e+01,-1.274409455917699233e+03,-6.734763102174371170e+02
3.511755877938969661e+01,-1.288019080795680793e+03,-6.488681338933125744e+02
3.781890945472736831e+01,-1.310412605240764151e+03,-6.083418226302956100e+02
4.052026013006503291e+01,-1.332806129685847054e+03,-5.678155113672786456e+02
4.322161080540270461e+01,-1.349134107060617907e+03,-5.382631634663350724e+02
4.592296148074037632e+01,-1.351914669659056472e+03,-5.332211905872809439e+02
4.862431215607804091e+01,-1.354695232257495263e+03,-5.281792177082269291e+02
5.132566283141571262e+01,-1.359861489838946909e+03,-5.188034078491691616e+02
5.402701350675337721e+01,-1.376584141466554456e+03,-4.884343326190847279e+02
5.672836418209104892e+01,-1.393306793094161776e+03,-4.580652573890002941e+02
5.942971485742872062e+01,-1.409840809285251225e+03,-4.280387088525354216e+02
6.213106553276638522e+01,-1.420841519338484204e+03,-4.080596099955763520e+02
6.483241620810406403e+01,-1.431842229391717410e+03,-3.880805111386171689e+02
6.753376688344172862e+01,-1.442842939444950389e+03,-3.681014122816580993e+02
7.023511755877939322e+01,-1.460772176707742346e+03,-3.355689712349782781e+02
7.293646823411705782e+01,-1.479515819800429881e+03,-3.015609618958225155e+02
7.563781890945473663e+01,-1.498259462893117643e+03,-2.675529525566666393e+02
7.833916958479240122e+01,-1.519500961655586480e+03,-2.290707832842392406e+02
8.104052026013006582e+01,-1.541545712759997286e+03,-1.891498281411539892e+02
8.374187093546774463e+01,-1.563590463864408548e+03,-1.492288729980684820e+02
8.644322161080540923e+01,-1.576313921426015668e+03,-1.262144655645745104e+02
8.914457228614307382e+01,-1.583288459366046027e+03,-1.136271928859805769e+02
9.184592296148075263e+01,-1.590262997306076386e+03,-1.010399202073865865e+02
9.454727363681841723e+01,-1.606609759803143788e+03,-7.161444848242443584e+01
9.724862431215608183e+01,-1.633094451477920757e+03,-2.397510785436509195e+01
9.994997498749376064e+01,-1.659579143152697952e+03,2.366423277369450773e+01
1.026513256628314252e+02,-1.677883530842693972e+03,5.659663749500398211e+01
1.053526763381690898e+02,-1.680465224176620495e+03,6.126204155150632147e+01
1.080540270135067544e+02,-1.683046917510547019e+03,6.592744560800866793e+01
1.107553776888444332e+02,-1.693962429462411365e+03,8.569373597643786411e+01
1.134567283641820978e+02,-1.737379834024232650e+03,1.643534829613795409e+02
1.161580790395197624e+02,-1.780797238586053936e+03,2.430132299463212178e+02
1.188594297148574412e+02,-1.822100940524716862e+03,3.178420786968243306e+02
1.215607803901951058e+02,-1.833460521968638886e+03,3.383998691261155614e+02
1.242621310655327704e+02,-1.844820103412560911e+03,3.589576595554067353e+02
1.269634817408704492e+02,-1.856179684856482936e+03,3.795154499846980798e+02
1.296648324162081281e+02,-1.876512756378189351e+03,4.161820910455231228e+02
1.323661830915457926e+02,-1.897544272136068230e+03,4.541025512756381772e+02
1.350675337668834572e+02,-1.918575787893947108e+03,4.920230115057531748e+02
1.377688844422211218e+02,-1.940258833822834958e+03,5.313392292147100306e+02
1.404702351175587864e+02,-1.962115448425510749e+03,5.710272789359228227e+02
1.431715857928964510e+02,-1.983972063028186312e+03,6.107153286571357285e+02
1.458729364682341156e+02,-2.013091577541252036e+03,6.636320240632904870e+02
1.485742871435718087e+02,-2.046096305982286140e+03,7.236252480045229731e+02
1.512756378189094733e+02,-2.079101034423319561e+03,7.836184719457547772e+02
1.539769884942471379e+02,-2.100861690635423656e+03,8.231505360511119989e+02
1.566783391695848024e+02,-2.111962828832334708e+03,8.432851703426440508e+02
1.593796898449224670e+02,-2.123063967029245759e+03,8.634198046341762165e+02
1.620810405202601316e+02,-2.139649234862284629e+03,8.934356694933657081e+02
1.647823911955978247e+02,-2.165367070039168993e+03,9.399064706116671459e+02
1.674837418709354893e+02,-2.191084905216052903e+03,9.863772717299682427e+02
1.701850925462731539e+02,-2.214691341444786303e+03,1.028988157296620557e+03
1.728864432216108185e+02,-2.231502149270862446e+03,1.059175738504987066e+03
1.755877938969484831e+02,-2.248312957096938135e+03,1.089363319713353576e+03
1.782891445722861476e+02,-2.264013907467554418e+03,1.117556003858029953e+03
1.809904952476238122e+02,-2.269602823243984403e+03,1.127572959200196692e+03
1.836918459229615053e+02,-2.275191739020413934e+03,1.137589914542363658e+03
1.863931965982991699e+02,-2.280780654796843464e+03,1.147606869884530397e+03
1.890945472736368345e+02,-2.294194128171604916e+03,1.171564558807489448e+03
1.917958979489744991e+02,-2.307927232167213333e+03,1.196091722141428363e+03
1.944972486243121637e+02,-2.321660336162821295e+03,1.220618885475367279e+03
1.971985992996498283e+02,-2.330624486072432774e+03,1.236511525989998290e+03
1.998999499749875213e+02,-2.338560216494032829e+03,1.250542141545504364e+03
2.026013006503251859e+02,-2.346495946915633340e+03,1.264572757101010211e+03
2.053026513256628505e+02,-2.363539624410863325e+03,1.294535731015721012e+03
2.080040020010005151e+02,-2.384782149066183138e+03,1.331843668302450396e+03
2.107053526763381797e+02,-2.406024673721503405e+03,1.369151605589179553e+03
2.134067033516758443e+02,-2.431040647485172485e+03,1.413047758193319851e+03
