lap_distance,x_position,y_position
0.0,191.473443663405,-151.30942713245028
0.5,190.99058661012288,-151.43923019614996
1.0,190.5077332818277,-151.5690471456779
1.5,190.02488441708536,-151.69888073422473
2.0,189.54204648204257,-151.82875496473545
2.5,189.05921499110312,-151.95865324588158
3.0,188.5763928807672,-152.08858656339748
3.5,188.09358389771677,-152.2185688076195
4.0,187.610782631495,-152.34857980267796
4.5,187.12799426911872,-152.4786388631412
5.0,186.64521952717405,-152.60874855497144
5.5,186.1624533594035,-152.73889009220147
6.0,185.67970297876667,-152.86909018578532
6.5,185.19696522829423,-152.9993369859436
7.0,184.714236663207,-153.12961774698425
7.5,184.23152774354133,-153.2599710768649
8.0,183.74883022776135,-153.39036642063945
8.5,183.26614284591676,-153.52079909959068
9.0,182.78347630307564,-153.6513084167178
9.5,182.30081921113953,-153.78185249812196
10.0,181.81817407627256,-153.91244056293112
10.5,181.3355477636211,-154.04309796946245
11.0,180.8529310141219,-154.1737906267365
11.5,180.37032851918897,-154.30453583859216
12.0,179.8877426341037,-154.43534242627067
12.5,179.40516659297478,-154.5661854171016
13.0,178.92260799345877,-154.6970929539327
13.5,178.44006395281158,-154.82805437046682
14.0,177.95752947873635,-154.95905119336038
14.5,177.47501327282018,-155.0901156394372
15.0,176.99250947372113,-155.22122592779812
15.5,176.51001540230726,-155.35237215795325
16.0,176.02754200825967,-155.48359470852344
16.5,175.54507790346227,-155.61485145444433
17.0,175.06262461573795,-155.74614801989838
17.5,174.5801913615919,-155.87751824970178
18.0,174.09776797659543,-156.0089247300948
18.5,173.61535893457295,-156.14038387938552
19.0,173.13296780312837,-156.27190873129936
19.5,172.65058729749225,-156.403472534729
20.0,172.16822580563183,-156.5351060008415
20.5,171.68588231860238,-156.6668053055876
21.0,171.20355078411126,-156.79854827890338
21.5,170.72124417073468,-156.9303821261044
22.0,170.2389554379729,-157.06228088949405
22.5,169.75668056010912,-157.19422994640723
23.0,169.27443982587377,-157.32630255803673
23.5,168.7922157488686,-157.4584350520624
24.0,168.3100112248347,-157.59063783861296
24.5,167.82784166394345,-157.72296618719668
25.0,167.34569001550918,-157.85535887315194
25.5,166.86356528647775,-157.98784825092653
